timestamp_ms,ax,ay,az,gx,gy,gz,tempC
2208769,0.276208,-0.065880,1.002352,-11.550000,4.480000,2.030000,21.04
2208781,0.290360,-0.052704,1.045784,-19.389999,5.460000,5.670000,21.04
2208792,0.295240,-0.061976,1.052128,-28.280001,4.970000,7.350000,21.04
2208803,0.297192,-0.117120,1.039440,-35.000000,4.690000,8.750000,21.04
2208814,0.291336,-0.206912,0.996496,-32.130001,7.490000,6.300000,21.05
2208825,0.288896,-0.302072,0.940864,-20.790001,9.800000,5.670000,21.02
2208836,0.283040,-0.296216,0.927688,-9.660000,10.990000,4.900000,21.02
2208847,0.270840,-0.268888,0.927200,-1.190000,10.150000,2.800000,21.05
2208858,0.292800,-0.295240,0.936472,5.320000,13.720000,-1.890000,21.05
2208869,0.280112,-0.315248,0.960872,14.980000,11.900000,-4.550000,21.02
2208880,0.291336,-0.274256,0.965264,23.100000,13.860000,-6.230000,21.04
2208891,0.274744,-0.202520,0.982832,19.950001,12.740000,-8.820000,21.04
2208902,0.290848,-0.203008,0.987712,14.210000,12.880000,-9.870000,21.04
2208913,0.287920,-0.249368,0.961360,10.290000,13.790000,-11.690000,21.04
2208924,0.273768,-0.282552,0.953552,10.920000,14.910000,-11.480000,21.05
2208935,0.124928,-0.223016,0.954040,8.610000,15.330000,-12.250000,21.05
2208949,0.229848,-0.217648,0.970632,3.360000,14.630000,-12.040000,21.05
2208961,0.242536,-0.213256,0.994544,2.450000,13.930000,-11.690000,21.05
2208972,0.242536,-0.181536,1.037488,4.830000,12.740000,-11.550000,21.05
2208983,0.242048,-0.140544,1.069696,5.950000,10.780000,-11.060000,21.04
2208994,0.245952,-0.141520,1.085800,8.890000,8.680000,-10.080000,21.02
2209005,0.233752,-0.098576,1.104832,8.890000,6.020000,-8.750000,21.02
2209016,0.232776,-0.093696,1.112152,7.560000,3.570000,-8.120000,21.04
2209027,0.207888,-0.087840,1.116056,7.350000,0.350000,-6.370000,21.04
2209038,0.240584,-0.102480,1.099464,8.400000,-0.980000,-5.950000,21.04
2209049,0.252296,-0.095160,1.042856,8.260000,0.210000,-4.690000,21.06
2209060,0.223016,-0.150792,1.030168,14.000000,-3.080000,-4.970000,21.06
2209071,0.271328,-0.134688,0.976976,22.610001,1.750000,-6.860000,21.09
2209083,0.187392,-0.109800,0.962824,23.240000,-3.780000,-4.900000,21.09
2209094,0.242536,-0.072712,0.983808,20.230000,-2.730000,-4.340000,21.07
2209105,0.236680,-0.086864,1.010648,14.840000,-3.640000,-4.410000,21.06
2209116,0.263520,-0.080032,1.031632,9.730000,-3.360000,-3.010000,21.06
2209127,0.255712,-0.080032,1.030168,3.430000,-4.620000,-2.310000,21.07
2209138,0.255712,-0.118096,1.022848,1.400000,-5.040000,-2.030000,21.07
2209149,0.241560,-0.136640,1.007720,1.960000,-4.970000,-2.450000,21.04
2209161,0.235704,-0.138592,0.986248,3.220000,-4.970000,-2.730000,21.04
2209172,0.240096,-0.151280,0.960872,6.230000,-4.340000,-2.940000,21.04
2209183,0.235704,-0.132736,0.948184,8.190000,-3.150000,-3.290000,21.04
2209194,0.240584,-0.105896,0.939888,6.230000,-2.660000,-3.360000,21.04
2209205,0.249368,-0.134688,0.938912,3.710000,-1.960000,-3.360000,21.07
2209216,0.258152,-0.141032,0.946232,4.060000,-0.980000,-3.080000,21.05
2209227,0.260592,-0.130784,0.955992,3.920000,-0.770000,-2.940000,21.05
2209238,0.264496,-0.125416,0.957944,3.010000,-0.140000,-3.010000,21.01
2209249,0.259128,-0.132248,0.965264,3.220000,-0.140000,-3.290000,21.01
2209261,0.257176,-0.121024,0.976976,2.940000,0.210000,-2.940000,21.06
2209272,0.250344,-0.117120,0.986248,2.660000,-0.070000,-2.590000,21.04
2209283,0.248392,-0.111752,0.993568,2.450000,-0.350000,-2.520000,21.04
2209294,0.245952,-0.105896,0.997960,3.220000,-0.210000,-2.520000,21.05
2209305,0.244488,-0.097600,0.990152,3.570000,-0.070000,-2.520000,21.05
2209316,0.245952,-0.087840,0.985272,3.150000,0.140000,-2.520000,21.07
2209327,0.242536,-0.092232,0.976000,1.750000,0.420000,-1.820000,21.07
2209338,0.242048,-0.105896,0.977464,1.470000,0.770000,-1.330000,21.03
2209349,0.243024,-0.101992,0.985272,1.960000,0.840000,-1.330000,21.09
2209360,0.246928,-0.099064,0.996008,1.960000,0.490000,-0.770000,21.09
2209371,0.252784,-0.099552,1.005280,1.890000,0.070000,-0.420000,21.05
2209382,0.254248,-0.102480,1.013576,2.240000,-0.210000,-0.210000,21.05
2209393,0.243512,-0.086864,1.017480,0.980000,-1.050000,0.350000,21.05
