Model,Macro_F1 (Test),Macro_F1 (Train),Accuracy (Test)
"Decision Tree max_depth=None, max_leaf_nodes=None, min_samples_split=2, ccp_alpha=0.0",0.9990825639811673,1.0,0.9990817263544536
"Decision Tree max_depth=None, max_leaf_nodes=None, min_samples_split=2, ccp_alpha=0.0",0.9990825639811673,1.0,0.9990817263544536
"Decision Tree max_depth=None, max_leaf_nodes=None, min_samples_split=2, ccp_alpha=0.0",0.9990825639811673,1.0,0.9990817263544536
