src,t_start_ms,t_end_ms,activity,drms_ax,drms_ay,drms_az,drms_gx,drms_gy,drms_gz,mean_ax,mean_ay,mean_az,mean_gx,mean_gy,mean_gz,p2p_ax,p2p_ay,p2p_az,p2p_gx,p2p_gy,p2p_gz,rms_ax,rms_ay,rms_az,rms_gx,rms_gy,rms_gz,std_ax,std_ay,std_az,std_gx,std_gy,std_gz
Lift Upward Non-Stop.csv,17080.0,17348.0,5.444396307404683,0.015191490425015365,0.03807924694633548,0.022926480293901784,5.879479349469159,1.7788702873360387,1.876665715217683,0.55932608,0.18301952,0.8576502400000001,-27.932800240000002,-16.37160008,62.45680008,0.09955200000000003,0.20447200000000004,0.33232799999999996,62.160000999999994,31.57,32.06000199999999,0.5601227180920981,0.19007684569773353,0.8640677160352653,34.77871118682808,18.034363994729627,63.270124990994,0.029862946182746274,0.05131337612523269,0.105114621829422,20.71997641333254,7.5636628372068735,10.112212425721433
Lift Upward Non-Stop.csv,17215.0,17480.0,6.573640757075604,0.013225985432725492,0.03543618756770166,0.017576470180329158,6.258919398346728,2.672481791955474,2.5099335399583955,0.50619264,0.07493728000000001,0.71942912,6.963600199999999,2.2203999999999997,63.683200479999996,0.18300000000000005,0.318176,0.23326399999999992,109.130001,53.480002,37.38000099999999,0.5091935956561905,0.1321561304518258,0.7232020513634624,30.32453366760321,16.607098661620586,64.67950957701522,0.055200806761408844,0.10885608334953817,0.07377634032903503,29.514159557950492,16.457993492427935,11.308799040894272
Lift Upward Non-Stop.csv,17348.0,17611.0,7.26240056897026,0.015877820757270192,0.03891168914349517,0.030009850871561047,6.4458782918493664,3.5366744029530355,2.7964250542737146,0.37896128000000007,0.03244224,0.71983904,37.65159996,38.65679992,41.73680032,0.307928,0.337208,0.38649600000000006,66.08,73.079999,56.35000099999999,0.3917034679897537,0.09949150789569931,0.7276297322039555,41.60273548182139,46.80849262647112,45.84484688831233,0.09909568656587228,0.0940535018334905,0.10619220159257646,17.69589274443448,26.39482528654981,18.96811759930988
Lift Upward Non-Stop.csv,17480.0,17741.0,8.88248221007425,0.015633146836129954,0.04935479302627726,0.033890976380151705,8.583923832762498,3.7845342974185137,2.0283401058503783,0.2389248,0.09430112000000002,0.9616137600000001,34.76479952,54.70639987999999,18.30640012,0.24839199999999997,0.284504,0.6261040000000001,64.33,47.039999,33.390001,0.2530921753910223,0.13012312966663536,0.9873635730896294,39.55116160311857,56.60235826030574,20.99927209298457,0.08349005443236937,0.08966229776771059,0.2240218784917723,18.86009274871703,14.527104763081239,10.288106875497771
Lift Upward Non-Stop.csv,17611.0,17872.0,9.15843138036579,0.008056311976746352,0.04330604770698892,0.025395739117681407,7.364610328399398,6.788767284149175,1.3378824334871195,0.16521728,0.10464672,1.22284992,11.4995998,24.3768002,5.72600012,0.043920000000000015,0.28255199999999997,0.32256799999999997,56.489998,99.260004,22.610000999999997,0.1656523026351279,0.12706046919227082,1.2260218155370646,19.0436073531251,38.29380087380203,9.132519063259606,0.011997322939789529,0.07206543432604566,0.08813379220703943,15.17953179316939,29.532808829701263,7.114480098121021
Lift Upward Non-Stop.csv,17741.0,18005.0,9.556822955365808,0.008798672930239728,0.03434800170800818,0.02580350472319603,6.385685638663554,9.11119954831262,1.1884548792444751,0.16687648,0.12660672,1.2865827200000002,-9.68239992,-33.89960028,1.0472,0.07710399999999998,0.197152,0.16933599999999993,52.57,151.26999800000002,12.670000000000002,0.16804806999141644,0.13844049972981173,1.287289319900138,18.09277783523581,53.477381839577774,4.132775338679807,0.01980894370352947,0.05600455710280726,0.04264619240168574,15.283970085824699,41.359974241677506,3.9978999687335848
Lift Upward Non-Stop.csv,17872.0,18137.0,9.476130601737717,0.021350116190160025,0.030646859763005626,0.06330824394974165,6.456337781591105,8.39467518276781,1.1698415134823463,0.2761104,0.08692255999999998,0.98909792,-11.84679996,-89.7344004,3.8276,0.39576799999999995,0.251808,1.062376,55.019999999999996,100.449995,14.350000000000001,0.3040686451971002,0.12011443690081555,1.0595288552103523,20.31628646443046,95.45386887847766,5.968911123479725,0.12736085742424946,0.0828972045068252,0.3798508913705924,16.504691042626163,32.545022180390134,4.580106793514753
Lift Upward Non-Stop.csv,18005.0,18268.0,8.2985000411497,0.02034585481123858,0.019446151975819448,0.06446912203528136,3.667742808254162,7.914412470613832,0.7453438803666399,0.4600864,0.00921344,0.53730752,-0.039199999999999874,-68.30600016,4.309200000000001,0.34550400000000003,0.155184,0.92232,45.079999,143.779996,9.94,0.47555535651059594,0.04460565594989049,0.6199234085047604,12.969124237387815,86.50903384565108,5.2984220292460655,0.1203054514182961,0.04364375174164568,0.30920165161850216,12.969064995010244,53.08581052456564,3.082867392542209
Lift Upward Non-Stop.csv,18137.0,18397.0,5.289064395855981,0.0073645974771198545,0.019730082006925363,0.028403039367879863,2.1813078519548865,6.099011249306652,0.6783742821383095,0.56811008,0.01313696,0.51003808,7.229599920000001,0.10079991999999961,2.3939999999999997,0.06295200000000001,0.108824,0.5192319999999999,21.839999,106.819998,5.8100000000000005,0.5683845586305103,0.034784371626349675,0.5457413682167039,9.305082741426864,32.37068250311694,2.8837621261123463,0.01766192209227523,0.032208272095820355,0.19415148192314577,5.8581097481641695,32.3705255609749,1.6077462486350265
Lift Upward Non-Stop.csv,18268.0,18529.0,3.5763906464932944,0.010745700163321145,0.030903027855966908,0.022051310165157992,3.629496039856429,1.79855969968602,0.8281279087999228,0.5576864,0.05104480000000001,0.7400617600000001,11.673199960000002,30.281999759999998,1.7135999999999998,0.10882399999999998,0.135176,0.31964000000000004,24.360001,34.72,6.369999999999999,0.5588166392254261,0.06368330819547616,0.7458231259530641,13.66004756237694,31.421461331631296,2.579117678587001,0.03552345042700666,0.03807876226559892,0.09252419463093099,7.094596683410284,8.385029680958839,1.9275432654028808
