src,t_start_ms,t_end_ms,activity,drms_ax,drms_ay,drms_az,drms_gx,drms_gy,drms_gz,mean_ax,mean_ay,mean_az,mean_gx,mean_gy,mean_gz,p2p_ax,p2p_ay,p2p_az,p2p_gx,p2p_gy,p2p_gz,rms_ax,rms_ay,rms_az,rms_gx,rms_gy,rms_gz,std_ax,std_ay,std_az,std_gx,std_gy,std_gz
Waving Non-Stop.csv,9021.0,9286.0,2.4672169582707735,0.013606510010530504,0.01994118518711129,0.014845951367292028,2.1393466477331344,1.8075617649665876,0.8086691742198,0.6172809600000001,0.08598560000000001,0.87266112,-19.37880016,-36.94320016,12.0512,0.14151999999999998,0.173728,0.16055200000000003,24.43,37.870001,9.379999999999999,0.6182280999496544,0.09861652948993896,0.8741575261039397,20.577338119280643,38.769587149094086,12.342252630699146,0.03420818599163656,0.048287643153088346,0.05112680397311767,6.920184132953704,11.759287803662987,2.664540966095286
Waving Non-Stop.csv,9153.0,9418.0,2.5320645708188576,0.0137735784747465,0.022384257325182805,0.017630301566715568,1.892914595273737,1.4928774584125977,1.405094895964919,0.68140416,0.02135488,0.77687648,-27.54920032,-55.24680008,5.6392,0.14981599999999995,0.130784,0.24156,15.120000000000001,30.169999000000004,27.16,0.6829514791418787,0.0454880922404974,0.7799288427144621,27.76565715246085,56.118889611816115,11.006689238822,0.045946638579708966,0.0401638598228009,0.06893427682024089,3.460242597927524,9.854991232046567,9.452334704188166
Waving Non-Stop.csv,9286.0,9550.0,3.552150297156244,0.013479021725135203,0.027166855246789242,0.0208480830773479,2.2220636435155936,1.9193168061858192,2.44641404236214,0.7575712,0.026488639999999997,0.65893664,-27.98600024,-64.66320044,-3.7856,0.13956800000000003,0.153232,0.340136,14.280000000000001,17.149998000000004,27.23,0.7588617980663409,0.05757481825103749,0.66490122313282,28.244406037670547,64.89710273606367,8.833833595897085,0.04423918506301851,0.051119581840918846,0.08886023288867974,3.8118582066388917,5.504947991724188,7.981594367042215
Waving Non-Stop.csv,9418.0,9683.0,7.143612111429964,0.017282137213512305,0.05969279353489833,0.03769622325910117,5.06269488390331,4.108563524518865,4.885102547115465,0.8254031999999999,-0.0007222400000000029,0.54169952,-23.82800028,-46.457600240000005,17.90879992,0.14347200000000004,0.6021920000000001,0.346968,53.550001,61.739997,73.85000099999999,0.8264140226512131,0.15522294303819908,0.5539200188538413,27.20572879651638,51.561010099376475,32.63941986499148,0.04086189256899391,0.1552212627664857,0.11571092134629989,13.129283377470392,22.36580296811082,27.28748091247355
Waving Non-Stop.csv,9550.0,9816.0,13.133811516816422,0.01995809630200237,0.0990197175246762,0.05039077539920708,7.899849802475232,4.946570291710729,10.589510051067979,0.89065856,-0.20425727999999999,0.43869248,-18.9980002,-40.2415996,-5.1016002,0.1761680000000001,0.887184,0.511912,79.870001,56.27999799999999,159.18,0.8919831826848754,0.3429404575276589,0.46502152721060125,30.108662669550778,44.150077687052836,58.436580300041534,0.04859349433171482,0.2754761713402479,0.15425280795087523,23.358243858423954,18.161580917036957,58.213465732273335
Waving Non-Stop.csv,9683.0,9948.0,21.433770263761005,0.08191122762275428,0.1294487648248011,0.07417733770723597,11.689738317430482,11.508278229351676,16.866556292532678,0.8704944,0.03414048000000001,0.22227424000000004,2.9400000399999997,-14.2743994,-10.640000360000004,0.333792,1.41764,0.82228,121.590004,159.809998,224.979995,0.8755698175899852,0.4953220962320175,0.344570479647459,39.56814166998497,56.44933681948799,73.23723653639591,0.09413822307224627,0.49414411525490176,0.26329257049317284,39.45876626278122,54.6147338099279,72.46021810502093
Waving Non-Stop.csv,9816.0,10080.0,28.898215920812074,0.08458762467406208,0.1751598828499266,0.07961469864290135,15.649475894232657,13.501716013560552,23.05197483185216,0.7606748800000002,-0.13763552,0.38626176,5.636400119999999,30.9456004,20.988799280000002,0.333792,1.9271120000000002,1.19316,130.270005,156.799999,257.669998,0.76605597123051,0.6932061763288611,0.5633044180567378,46.32360161884653,57.31106912062976,86.62045367153421,0.09063927402018176,0.6794050828002464,0.4100167315658501,45.97941996838221,48.238246854888104,84.0391176717502
Waving Non-Stop.csv,9948.0,10213.0,30.29333915332523,0.07320460874380338,0.17724185864518574,0.07926320377072832,15.437070131963852,13.899796777201542,25.130060370981585,0.7472451200000001,-0.17802240000000005,0.5670755199999999,15.800399879999997,11.77120028,-15.019199959999998,0.21423199999999998,2.112552,0.883768,152.39,160.16000400000001,285.459991,0.7502090582674672,0.709130825646608,0.6375496987756797,54.95416975843054,49.65696423678759,95.98934846947971,0.06662103078417204,0.6864215563197881,0.2913674192933891,52.63371673623759,48.24161006000659,94.80706013877207
Waving Non-Stop.csv,10080.0,10345.0,24.49514695943125,0.07185119888584555,0.15557658256520057,0.07691916981697952,11.698502404011832,12.94139709652716,21.00513731189766,0.8039312,0.06299104000000001,0.47324288000000003,9.91759996,5.986400199999999,9.296000600000001,0.181048,1.90808,0.81984,142.379997,131.25,273.909996,0.8052225068369612,0.5878489645543998,0.5379418235811007,51.04780115106234,40.7627544937189,97.58522318198798,0.04558411108445573,0.5844643137159004,0.25577838471431785,50.075135680213684,40.32077834765396,97.14144407163816
Waving Non-Stop.csv,10213.0,10478.0,19.0543630964589,0.02275509865209699,0.14601804841868007,0.06589950205173531,9.85378972020426,7.746947896752797,17.17460119765055,0.82337312,-0.23279551999999998,0.5628006400000001,6.269200199999999,1.9655998000000003,10.82759992,0.08588799999999996,1.793888,0.6587999999999999,126.279998,116.130001,230.93,0.8237313315613534,0.5814812239739474,0.6069342459784586,46.91496522970044,42.133790689174894,88.65316590854498,0.024290159680529062,0.5328476890277086,0.2272105159472827,46.49420492229457,42.087916737056986,87.98947042447988
Waving Non-Stop.csv,10345.0,10611.0,19.624993494208937,0.014165665815626158,0.13100145417004602,0.06309480185667701,12.2814426841544,8.419519032977382,16.77683915094479,0.8132812800000001,-0.060687680000000015,0.5032451200000001,13.997200120000002,-5.7092000800000005,-4.4743999599999995,0.08588799999999996,1.697752,0.673928,133.419998,106.120003,210.349998,0.8136674523102913,0.5319357142632933,0.5579116936599913,48.58251166924988,37.53331661847113,77.85035835565051,0.025065565038147455,0.5284624959304279,0.24085225163727575,46.52245510389014,37.09656171168602,77.72167034425568
Waving Non-Stop.csv,10478.0,10744.0,21.372336143103414,0.0146009757664799,0.12874058309639586,0.047023153474290376,14.958204418283936,8.221077051700739,17.430199170549052,0.8070544000000001,-0.17218592000000002,0.50765664,-9.242800039999999,5.978000399999998,18.600399879999998,0.08393600000000001,1.6552959999999999,0.59536,143.220002,92.610001,207.549995,0.8072840796408659,0.5761278728571289,0.5479187244207666,48.9851319534979,30.953575967516265,73.69773766089706,0.019255666237240402,0.5497957210061147,0.206154467414098,48.105236720363166,30.370831012575216,71.31186199110566
